"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 10 17:25:23 GMT 2025","Sat May 10 17:25:24 GMT 2025","780","","WebFormTests","","WebFormTests","openWebFormTest","openWebFormTest()",""
"passed","Sat May 10 17:25:20 GMT 2025","Sat May 10 17:25:21 GMT 2025","867","","NavigationTestsForPOM","","NavigationTestsForPOM","openNavigationTest","openNavigationTest()",""
"passed","Sat May 10 17:25:21 GMT 2025","Sat May 10 17:25:22 GMT 2025","1006","","WebFormTests","","WebFormTests","checkTextareaInput","checkTextareaInput()",""
"passed","Sat May 10 17:25:24 GMT 2025","Sat May 10 17:25:24 GMT 2025","758","","WebFormTestsForPOM","","WebFormTestsForPOM","openWebFormTestWithCheck","openWebFormTestWithCheck()",""
"passed","Sat May 10 17:25:24 GMT 2025","Sat May 10 17:25:25 GMT 2025","778","","WebFormTestsForPOM","","WebFormTestsForPOM","openWebFormTest","openWebFormTest()",""
"passed","Sat May 10 17:25:18 GMT 2025","Sat May 10 17:25:20 GMT 2025","2049","","HomePageWithPOMTests","","HomePageWithPOMTests","openHomePageTest","openHomePageTest()",""
"passed","Sat May 10 17:25:25 GMT 2025","Sat May 10 17:25:29 GMT 2025","3772","","WebFormTestsForPOM","","WebFormTestsForPOM","submitFormTest","submitFormTest()",""
"passed","Sat May 10 17:25:22 GMT 2025","Sat May 10 17:25:23 GMT 2025","968","","WebFormTests","","WebFormTests","disabledInput","disabledInput()",""
