"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat May 10 17:12:03 GMT 2025","Sat May 10 17:12:04 GMT 2025","497","","WebFormTests","","WebFormTests","openWebFormTest","openWebFormTest()",""
"passed","Sat May 10 17:12:02 GMT 2025","Sat May 10 17:12:02 GMT 2025","827","","NavigationTestsForPOM","","NavigationTestsForPOM","openNavigationTest","openNavigationTest()",""
"broken","Sat May 10 17:12:03 GMT 2025","Sat May 10 17:12:03 GMT 2025","239","","WebFormTests","","WebFormTests","disabledInput","disabledInput()",""
"broken","Sat May 10 17:12:02 GMT 2025","Sat May 10 17:12:03 GMT 2025","797","","WebFormTests","","WebFormTests","checkTextareaInput","checkTextareaInput()",""
"passed","Sat May 10 17:11:59 GMT 2025","Sat May 10 17:12:01 GMT 2025","1980","","HomePageWithPOMTests","","HomePageWithPOMTests","openHomePageTest","openHomePageTest()",""
"passed","Sat May 10 17:12:04 GMT 2025","Sat May 10 17:12:05 GMT 2025","816","","WebFormTestsForPOM","","WebFormTestsForPOM","openWebFormTestWithCheck","openWebFormTestWithCheck()",""
"passed","Sat May 10 17:12:05 GMT 2025","Sat May 10 17:12:05 GMT 2025","717","","WebFormTestsForPOM","","WebFormTestsForPOM","openWebFormTest","openWebFormTest()",""
"passed","Sat May 10 17:12:05 GMT 2025","Sat May 10 17:12:09 GMT 2025","3742","","WebFormTestsForPOM","","WebFormTestsForPOM","submitFormTest","submitFormTest()",""
